"Vehicle Make",Count
ncura,1
stoughtovan,1
butle,1
toyiota,1
crownvic,1
dealer,1
backhoe/construc.equip.,1
landrove,1
1900091366,1
handa,1
mazerati,1
trmph,1
un,1
scattante,1
smealapparatus,1
durango,1
3600,1
1915384,1
toyoyta,1
chevyexpress,1
mecury,1
westfuel,1
toyota/matrix,1
trailstar,1
19-129192,1
autocarac,1
chvey,1
honeystar,1
evadeing,1
06.v,1
unitedstatespostal,1
navistarinternational,1
possiblynissan,1
kids,1
20-40927,1
tec,1
ftl(cocacola),1
melroetractor,1
iszuzu,1
litespeed,1
streetbike,1
nabi,1
suzukipickuptruck,1
thomasbuiltbusesinc,1
supthem,1
ferris,1
freughtliner,1
19-131196,1
workvan,1
thumpstar,1
20-74399,1
holidayrambler,1
20-11357,1
nfxd40',1
ford(english),1
internationalcoachmfg,1
ups,1
toyouta,1
claas,1
usarmy,1
volkswago,1
volkswagwn,1
donf,1
hevy,1
gotrax,1
77898,1
fores,1
chrya,1
cakil,1
chervolet,1
carryontraile,1
stl,1
ptl,1
hondq,1
19-117693,1
kar,1
bentelli,1
maine,1
isuzutruck,1
cattapillar,1
fedex,1
petrb,1
gmg,1
rov,1
2007,1
trv,1
totoya,1
int'l,1
tmc,1
20-79996,1
lccorp,1
avant,1
ferr,1
gvwr,1
jlgindustries,1
zepher,1
puegot,1
nissn,1
mitsuishi,1
nternational,1
towntruck,1
18-116553,1
smar,1
mozda,1
freghtln,1
mercedes.,1
fiar,1
hyand,1
mv-1,1
mtrhm,1
alan,1
luster,1
entg,1
frtlner,1
lexucs,1
20-14882,1
audia4,1
oldsmoblie,1
vanguardtrailer,1
claris,1
1947130,1
pie,1
accord,1
hamm,1
20-28869,1
forf,1
intenationial,1
indian(taiwan),1
thomasschoolbus,1
serotta,1
comm,1
honda`,1
jeep*,1
uhual,1
chrisler,1
fedextruck,1
lincolnmrx,1
dongsang,1
j771,1
chrslyer,1
1800316907,1
dcxs,1
nissain,1
ran,1
yahmaha,1
va/ho,1
2004,1
kenoworth,1
kidro,1
hyumday,1
4mack,1
bulk,1
postalllv,1
austi,1
1968688,1
89054,1
peterbil,1
nisso,1
granddesign,1
daim,1
freight/li,1
19-96859,1
1800047177,1
tiazhou,1
rock,1
enter,1
toyota`,1
unknwown,1
--,1
rallye,1
kountry,1
1996,1
cheverolat,1
champ,1
chyrs,1
chrvy,1
fordexplorer,1
fordwind,1
20-8722,1
doosan,1
freightlnr,1
lwt,1
cms,1
cts,1
frra,1
indep,1
subara,1
cheverolete,1
55485,1
carry-ontrailer,1
xde40,1
murray,1
trao,1
cfs#20-5710,1
wabashnationalcorp,1
ford(evaded),1
bgtx,1
intrn'l,1
trmb,1
nniss,1
tauro,1
19-16115,1
hitachi,1
eagb,1
559494a,1
ramram,1
yaaha,1
nissasn,1
vlk,1
marathon,1
mercadez,1
b9tribec,1
silver,1
toyp,1
cadallac,1
unlnown,1
nisson,1
5206,1
cheby,1
frieghtlin,1
sturn,1
freighliner.,1
freighter,1
toyota4runner,1
taoteo,1
mapo,1
cfs#20-7893,1
revolution,1
hawke,1
nissan.,1
35vesel,1
86241,1
verme,1
ptbb,1
florida,1
kentwort,1
pontaic,1
unkownevaded,1
hyundau,1
raicoop,1
n./a,1
satrn,1
optimal,1
tra,1
wrkhs,1
freightleiner,1
19-9389,1
700newflyer,1
smrt,1
115941,1
ptbl,1
tl,1
neph,1
scott,1
wabashnationalcorp.,1
dura,1
fordtransit,1
universalmarin,1
xcelsior,1
macktruck,1
uspostalservice,1
transtechbus,1
`chevrolet,1
landoll,1
55558,1
chevor,1
india,1
sport-r,1
tao-motor,1
uspsdeliverytruck,1
lancia,1
19-63046,1
windsport,1
emers,1
volkswagin,1
silverado,1
americanlefrance,1
volt,1
suvtype,1
lincolin,1
minibike,1
chvrolet,1
goddard,1
intntl,1
19-79373,1
20-5394,1
infiity,1
?,1
flybikes,1
evadingm/v,1
lexua,1
americanlaf,1
colli,1
auudi,1
thuma,1
22823,1
aston-martin,1
hu,1
eaglevision,1
baja,1
uspsmailtruck,1
internationalharves,1
0utback,1
kend,1
mercedis,1
infininity,1
hudsonbrostra,1
infini,1
chryls,1
120022,1
19-23333,1
crancarri,1
kraftsman,1
kris,1
mitusbishi,1
chuckswagons,1
fordf550,1
holder,1
jeef,1
ldv,1
kiaforte,1
hyumd,1
dieseltransitbus,1
huyandai,1
frod,1
boat,1
gator,1
aristocrathous,1
vulca,1
f350,1
macans,1
landr,1
ndmc,1
vovl,1
llexux,1
felber,1
blackpanther,1
galante,1
saulsbury,1
newflyerdxe40sr-1850,1
cotl,1
freightlinee,1
20-517,1
grumandallied,1
kymc,1
ancheer,1
kenowrth,1
flts,1
internatinal,1
400newflyer,1
subaru(dealer),1
/ram,1
128935,1
saglight,1
grandcherokee,1
internatinoal,1
acc,1
forde350,1
20-15662,1
enterpris,1
motoguzzi,1
chevlgmt,1
lamb,1
18-92332,1
whi,1
merbz,1
hyunai,1
ghibli,1
mercedz,1
flags,1
unknonw,1
