Latitude,Longitude
41.18647500,-73.16735100
41.77244400,-72.53502100
41.67399800,-72.77724500
41.32845000,-72.97762100
41.37274600,-72.11820500
41.06573500,-73.54429100
41.18316100,-73.20654400
41.17961200,-73.16886700
41.17756500,-73.16050700
41.14056600,-73.26841400
41.71888501,-72.59363973
41.41450000,-72.90290000
41.33439400,-72.86723900
41.32761500,-72.93296800
41.32656600,-72.96241700
41.79531100,-73.08937400
41.76294200,-72.73820500
41.85520500,-72.64063900
41.17256000,-73.20227900
41.23886100,-73.11508200
41.17993600,-73.20312900
41.17858500,-73.15662700
41.38704900,-73.47817700
41.16903300,-73.23031700
41.31200500,-72.95051800
41.76952200,-72.66641100
41.92336600,-73.06006300
41.08777300,-73.49811200
41.70337700,-72.64411700
41.64309300,-72.92232600
41.03740900,-73.57865200
41.27619200,-72.97083900
41.39309200,-73.46248100
41.38635400,-73.44422400
41.01830700,-73.63903100
41.59888300,-72.69514400
41.69024500,-72.77917000
41.66830500,-72.78054500
41.33013700,-72.98389200
41.29751800,-72.94906800
41.12426400,-73.39804600
41.39586000,-73.08492800
41.04551300,-73.53749700
41.07043800,-73.52570400
41.06759700,-73.54681100
41.54678700,-72.80508800
41.63418800,-72.75155300
41.55264200,-73.00013500
41.27620200,-72.83627500
41.19705000,-73.16319200
41.19822200,-73.20814700
41.17876000,-73.19142500
41.17467700,-73.19887200
41.66157700,-72.77518900
41.30861500,-72.89511800
41.68207400,-72.79271400
41.30500500,-72.93721300
41.10192000,-73.41984300
